중위매매가격_아파트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012년 01월 ~ 2018년 04월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012년 01월 ~ 2018년 04월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국감정원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018.05.22 14:50:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
천원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구별,2012년 01월,2012년 02월,2012년 03월,2012년 04월,2012년 05월,2012년 06월,2012년 07월,2012년 08월,2012년 09월,2012년 10월,2012년 11월,2012년 12월,2012년 중위값 평균,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월,2013년 중위값 평균,2014년 01월,2014년 02월,2014년 03월,2014년 04월,2014년 05월,2014년 06월,2014년 07월,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,2014년 중위값 평균,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,2015년 중위값 평균,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,2016년 중위값 평균,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,2017년 중위값 평균,2018년 01월,2018년 02월,2018년 03월,2018년 04월
노원구,260000,260000,260000,255000,252500,250000,246000,245000,245000,244500,243500,240500,250166.7,239500,239500,240500,240500,240500,241000,240000,240000,239000,240000,239000,239000,239875,240000,244000,245000,246000,246000,246000,246000,244500,245000,248500,251000,250000,246000,252500,252500,254000,256000,256500,256500,272500,273500,275000,275000,275500,276500,264666.67,276500,276500,277500,277500,277500,277500,277500,277500,282000,284500,284500,285500,279541.67,285500,286000,288000,290000,293000,301000,306000,307000,305500,305500,305500,346000,301583.33,347000,347500,348000,347500
은평구,312500,312500,312500,312500,312500,312500,312500,310000,310000,310000,310000,307500,311250,307500,307500,305000,305000,305000,305000,301500,301500,301500,302500,302500,302500,303916.67,313500,312500,315000,316000,317500,316500,316500,316500,316500,316500,319000,319000,316250,322500,322500,322500,324000,324000,326000,329000,329500,329500,329500,330500,331000,326708.33,331000,331500,331500,332000,332000,331500,332000,332500,334000,334500,336000,337000,332958.33,337000,337000,339000,342500,346500,350500,354000,355000,356000,355500,356500,415000,353708.33,413500,415000,416500,420000
서대문구,350000,350000,350000,350000,350000,347500,347500,347500,340000,337500,337500,337500,345416.7,337500,337500,334000,334000,333000,335500,335500,334500,335000,335500,337000,337000,335500,335500,335500,337500,342500,342500,342500,342500,342500,343500,343000,343000,343000,341125,342500,343000,343500,343500,344500,345000,346500,347500,354000,357000,360500,360500,349000,360500,361500,361500,362000,362500,363000,363500,363500,364500,366000,367500,369500,363791.67,369500,369500,370500,371500,373500,375000,377000,378500,379500,381500,381500,480500,384000,483000,490000,490000,493500
마포구,442500,442500,442500,441000,441000,441000,441000,439000,436500,436500,436500,435000,439583.3,435000,435000,435000,437500,437500,447000,447000,447000,445000,447000,448500,446000,442291.67,446500,445000,449000,450500,451000,451500,451500,451500,455000,455500,458500,458000,451958.33,458000,458000,459000,460500,461500,465000,477000,479000,482500,484500,485500,486000,471375,487500,488000,488500,488000,487000,488000,489000,490500,494000,495500,500000,502000,491500,503000,503000,503000,517000,524000,524000,525000,528000,530500,531000,534000,650000,531041.67,655000,690000,690000,695000
양천구,524000,524000,522500,512500,512500,510000,505000,502500,500000,497500,497500,491500,508291.7,490500,489000,487500,492500,490000,490000,485000,485000,485000,487500,485000,481500,487375,483000,483000,483000,483000,483000,482000,482000,482000,494000,494000,494000,494000,486416.67,494000,494000,495500,495500,495500,499000,489500,492500,495000,497500,504000,507500,496625,510000,510000,511000,510000,509500,511000,513500,514000,516500,522500,535000,530000,516083.33,532500,530000,530000,529000,531500,545000,545000,560000,557000,556000,561000,605000,548500,605000,617500,630000,632500
강서구,385000,385000,380000,380000,370000,365000,365000,360000,356500,355000,351500,348000,366750,342500,340000,340000,335000,340000,340000,341000,340000,340000,340000,340000,340000,339875,340000,342500,342500,340000,337500,330000,331500,337500,340000,341500,344000,345000,339333.33,343500,346000,346000,350000,351000,357000,395000,396500,400000,400000,405000,406500,374708.33,408500,409000,409000,408500,409000,408500,409500,410500,424500,426500,427500,430500,415125,431500,431500,433000,435000,440000,446000,448000,450000,450000,450000,453000,480000,445666.67,480000,490000,495000,500000
구로구,330000,330000,332000,332000,330000,330000,326500,325500,325500,325000,323500,321500,327625,320000,320000,322500,323500,322500,319000,316500,316500,314000,312000,320000,315000,318458.33,315000,315000,315000,320000,317500,315000,315000,315000,317500,315500,316000,316000,316041.67,317500,317500,320000,320000,327500,334000,335000,337500,344000,345000,350000,350000,333166.67,350000,350000,350000,347500,350000,350000,351000,354000,356000,357000,360000,360000,352958.33,360000,359500,360500,362000,363500,365500,368000,371000,373000,373500,374500,402500,369458.33,410000,410000,410000,410000
금천구,275000,275000,275000,275000,275000,275000,275000,272500,272500,272500,273500,274000,274166.7,273500,272500,271500,271000,271000,270000,269000,268000,271000,273500,275500,278000,272041.67,279000,279000,280000,279000,279000,278000,279000,279500,281000,280000,281000,280000,279541.67,281000,282000,283500,284500,286000,287500,300000,301000,302500,302500,302500,302500,292958.33,303000,304000,304000,304000,304500,306500,307500,307500,308500,311000,313500,314500,307375,316000,316500,318000,318000,318000,321500,322500,324500,324500,326500,328500,357500,324333.33,357500,357500,357500,357500
영등포구,431500,431500,435000,434000,430000,421000,422000,419000,417500,415000,412500,412500,423458.3,410000,405000,410000,410000,413000,412000,405000,402500,402500,402500,402500,402500,406458.33,403000,403000,403500,405000,405000,405000,407500,407500,410000,405000,405000,405000,405375,410000,410000,410000,410000,413000,420000,427500,427500,430000,435000,440000,440000,422750,440000,440000,440000,440000,443000,443500,445000,446000,447500,449500,451000,451000,444708.33,451000,451000,451000,454000,456000,460000,461000,463000,463000,463000,465000,505000,461916.67,507500,510000,518000,520000
동작구,477000,474000,470500,460000,460000,460000,460000,452500,445000,442500,435000,432500,455750,432500,427500,427500,425000,427500,430000,430000,430000,430000,435000,435000,435000,430416.67,452500,456500,456500,455000,455000,456000,457000,458500,460000,462500,463500,465000,458166.67,465000,467000,468500,470500,474000,474000,485000,485000,490000,490000,490500,494000,479458.33,494000,495000,495000,496000,496000,496500,497500,500000,505000,511000,514000,514500,501208.33,514500,515000,516500,519000,520000,522500,525000,526500,526500,526500,527500,632500,531000,637500,640000,657500,660000
관악구,400000,400000,400000,394000,390000,384000,382000,372500,372500,370000,370000,370000,383750,365000,366500,366500,370000,370000,366500,363500,360000,362000,365000,366000,367500,365708.33,366500,370000,372500,372500,374000,371500,370500,370000,370500,371500,371000,369500,370833.33,369000,369000,368000,370000,372500,373500,379000,379000,380000,382000,386000,389000,376416.67,390000,390000,390000,389500,389500,391000,393000,393500,394000,401000,405500,407500,394541.67,408000,410000,415000,417500,418000,418000,418000,420000,422000,422000,424500,442500,419625,443500,445000,445000,445000
서초구,870000,865000,865000,855000,850000,845000,845000,844462,841962,838925,832500,831000,848654.1,810000,810000,807100,809600,809500,809500,799000,796500,795000,795000,795000,795000,802600,795000,800000,805000,812500,812500,812500,812500,820000,825000,830000,831500,834000,815875,835000,835000,845000,861000,870000,882500,930000,935000,945000,950000,955000,970000,901125,972500,977500,980000,980500,985500,988000,993500,998500,995000,999000,1007500,1007500,990416.67,1000000,1005000,1005000,1010000,1017500,1032500,1037500,1047500,1047500,1050000,1060000,1185000,1041458.33,1205000,1230000,1235000,1240000
강남구,900000,890000,885000,880000,865000,829000,823500,816000,782500,785000,780000,770000,833833.3,780000,772500,769000,776500,792500,775000,775000,772500,772500,775000,775000,775000,775875,777500,785500,797500,795000,792500,792500,792000,794500,810500,808500,804500,801500,796000,804500,812500,845000,850000,858000,863000,920000,922500,934000,941500,942500,946500,886666.67,941500,934000,934000,934000,955000,982500,987500,997500,1002500,1017500,1017500,1007500,975916.67,1002500,1000000,1002500,1007500,1017500,1042500,1050000,1070000,1065000,1080000,1080000,1265000,1056875,1295000,1330000,1335000,1335000
송파구,725000,720000,720000,719000,700000,695000,690000,675000,670000,660000,650000,650000,689500,650000,644000,647000,695000,695000,689000,687500,686500,692500,700000,700000,705000,682625,675000,682500,690000,690000,695000,695000,700000,700500,704000,711500,712000,712000,697291.67,719000,719000,724000,727500,727500,730500,752500,755000,764000,764500,765000,765000,742791.67,765000,765000,764000,765000,768500,770500,771000,771500,780500,784000,788000,788000,773416.67,788000,792500,794000,794500,798000,813000,820000,830000,832500,840000,848500,960000,825916.67,1035000,1075000,1090000,1097500
강동구,504000,504000,500000,490000,485000,480000,470000,457500,450000,444000,443000,443000,472541.7,443000,440000,440000,440000,445000,440000,440000,440000,440000,440000,438000,435000,440083.33,435000,436000,436000,436000,436000,436000,438000,450000,465000,465000,462000,455000,445833.33,455000,465000,468000,484500,495000,510000,505000,500000,502500,508000,512500,512500,493166.67,510000,495000,495000,493000,493000,452500,454000,454000,457500,462000,460000,460000,473833.33,459000,457500,459500,458500,462000,467000,468000,478000,481000,481000,481000,550000,475208.33,567500,584000,595000,591500
서울평균,494112,492510,491508,487874,482988,477103,474405,469947,464866,462187,458786,455396,475973.5,453775,451211,450775,453550,454978,453180,451137,449931,450085,451195,451546,451694,451921.42,450883,453320,455813,456306,456277,455610,456107,457731,461859,462885,463314,462832,457744.75,465558,467236,471850,475361,478235,482392,499231,500851,505173,507808,510606,512974,489772.92,512894,511983,512218,511962,514667,515637,517082,519214,517817,521485,524014,523741,516892.83,523160,523438,524577,526699,529963,537320,540529,546850,546700,548899,551397,625831,543780.25,638081,650989,656713,658765
